reference,project_name,country,date_online,decommission_date,status,technology,product,end_use,announced_size,capacity_normalized,capacity_zerocarbon,refs,latitude
Ref,Project name,Country,,Decomission date,Status,Technology,Product,EndUse_Refining,Announced Size,Capacity_MWel,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],References,Location
3,H2GO Energy Park Oude-Tonge - 1st phase,NLD,2025.0,,FID/Construction,Other Electrolysis,H2,,2.5MW,2.5,555.5555555555555,[503][630][609],Oude-Tonge
4,H2GO Energy Park Oude-Tonge - 2nd phase,NLD,2030.0,,Concept,Other Electrolysis,H2,,26MW,26,5777.777777777778,[503][630][609],Oude-Tonge
5,"NortH2, phase 1",NLD,,,Feasibility study,Other Electrolysis,H2,1,1GW,1000,222222.22222222225,[379],Eemshaven area
6,Norsk e-Fuel Phase 1,NOR,2028.0,,Feasibility study,SOEC,Synfuels,,50 million litres of synthetic kerosene per year production,257.4906367041199,67760.69386950524,[414] [521][1288][1449] [1693],Mosjøen
8,HYBRIT pilot,SWE,2021.0,,Operational,ALK,H2,,4.5MW,4.5,978.2608695652174,[299] [340] [434] [576] [2224],Luleå
9,HYBRIT demo,SWE,2028.0,,FID/Construction,ALK,H2,,500 MW - 1.3 Mt DRI,500,108695.65217391304,[299] [340][1108],Luleå
10,Iberdrola - Puertollano I,ESP,2022.0,,Operational,PEM,Ammonia,,20 MW,20,3846.153846153846,[567] [572][620][631],Fertiberia plant in Puertollano
11,Green Hysland Mallorca - Phase 1,ESP,2022.0,,Operational,PEM,H2,,2.5 MW,2.5,480.7692307692308,[317] [319] [594] [682] [691] [692][1239],Lloseta
14,CRI project in Norway (Circlenergy),NOR,2026.0,,Feasibility study,Other Electrolysis,MeOH,,110 MW,110,24444.444444444445,[413],Finnjord
15,ARIES project,USA,2022.0,,DEMO,PEM,H2,,1 MW,1,192.30769230769232,[613] [614] [1618],Arvada (Colorado)
16,Fukushima Hydrogen Energy Research Field,JPN,2020.0,2023,Operational,ALK,H2,,10 MW,10,2173.913043478261,[58] [135] [326] [327] [328],Fukushima
17,Hydrospider - St Gallen,CHE,2020.0,,Operational,PEM,H2,,2 MW,2,384.61538461538464,[239] [354] [546],St Gallen
18,"H2APEX Energy, Rostock-Laage",DEU,2021.0,,Operational,ALK,H2,,2 MW,2,434.7826086956522,[577][578],Laage
19,Leuchtturmprojekt Power-to-Gas Baden-Württemberg,DEU,2020.0,,Operational,PEM,H2,,1.3 MW,1.3,250.00000000000003,[435] [545] [2225],Baden-Württemberg
20,eFarm (5 production sites in North Frisia),DEU,2020.0,,Operational,PEM,H2,,1.125 MW,1.125,216.34615384615387,[236] [355][585],North Frisian Islands
22,Hydrogen plant - Orkney Islands - BIG HIT 2n phase,GBR,2019.0,,Operational,PEM,H2,,1 MW,1,192.30769230769232,[383] [547],Orkney Islands
23,Wyhlen hydroelectric power plant,DEU,2020.0,,Operational,ALK,H2,,1.3 MW,1.3,282.60869565217394,[239] [354] [546] [737],Wyhlen hydroelectric power plant
24,GrInHy2.0,DEU,2020.0,,Operational,SOEC,H2,,0.7 MW - 200 Nm3 H2/h,0.7,200,[298] [333] [586] [672] [2082],Salzgitter
25,Power2Met,DNK,2020.0,,Operational,Other Electrolysis,MeOH,,0.25 MW - 50 Nm3 H2/h,0.25,50,[565],
26,REMOTE - Norway,NOR,2020.0,2022,Decommisioned,PEM,H2,,50 kW,,0,[423],
27,H2One - Toranomon Hills Business Tower,JPN,2020.0,,Operational,PEM,H2,,1 Nm3/h,0.0052,1,[548],Toranomon Hills Business Tower
28,H2One - Toyama City Environment Center ,JPN,2020.0,,Operational,PEM,H2,,1 Nm3/h,0.0052,1,[549],Toyama
29,H2One - Tsuruga City,JPN,2020.0,,Operational,PEM,H2,,1 Nm3/h,0.0052,1,[550],Tsuruga
30,H2FUTURE,AUT,2019.0,,Operational,PEM,H2,,6 MW,6,1153.8461538461538,[342],Linz
31,Guangdong Synergy Hydrogen Power Technology Co. 1st phase,CHN,2019.0,,Operational,PEM,H2,,4 MW,4,769.2307692307693,[352],
33,Markham Power to Gas ,CAN,2018.0,,Operational,PEM,H2,,2.5 MW,2.5,480.7692307692308,[394],"Markham, Ontario"
34,PFI - Pirmasens-Winzeln,DEU,2019.0,,Operational,Other Electrolysis,CH4,,2.5 MW,2.5,555.5555555555555,[604],Pirmasens
36,MEFCO2,DEU,2019.0,2021,DEMO,PEM,MeOH,,1 MW - 200 Nm3 H2/h - 1t MeOH/d,1,192.30769230769232,"[2], [4], [8], [50], [51] [408]",
37,"Windgas Haurup, 2nd phase",DEU,2020.0,,Operational,PEM,H2,,1 MW,1,192.30769230769232,[440] [737][1002][1198],Haurup
38,Parnu refuelling station,EST,2019.0,,Operational,ALK,H2,,1 MW - 200m3 H2/h,1,217.3913043478261,,Parnu
40,"H2Nodes, Riga",EST,2019.0,,Operational,PEM,H2,,140 Nm3 H2/h,0.728,140,[390] [391] [437],Riga
41,Houdain bus station HRS (TADAO/Bulle 6 SMTAG),FRA,2019.0,,Operational,ALK,H2,,0.5 MW,0.5,108.69565217391305,,"Houdain, Pas-de-Calais, Haut-de-France, France "
42,HyDeploy,GBR,2020.0,,Operational,PEM,H2,,0.5 MW,0.5,96.15384615384616,[269] [302] [436],Keele
43,Quebec Great Toronto Area East,CAN,2019.0,,Operational,ALK,H2,,0.5 MW - 100m3 H2/h,0.5,108.69565217391305,[458],
44,Fébus Pau bus station HRS,FRA,2021.0,,Operational,PEM,H2,,0.75 MW,0.75,144.23076923076923,[547],"Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France"
46,"Solothurn, STORE&GO",CHE,2019.0,,Operational,PEM,CH4,,0.35 MW,0.35,67.3076923076923,[372],Solothurn
49,Sarawak Energy,MYS,2019.0,,Operational,ALK,H2,,60 Nm3/h,0.276,60,[240] [357],
50,Vårgårda Bostäder housing complex,SWE,2019.0,,Operational,ALK,H2,,60 Nm3/h,0.276,60,,Vargarda 
51,SoCalGas-NREL,USA,2019.0,,Operational,Other Electrolysis,CH4,,0.25 MW,0.25,55.55555555555556,[3] [109],
52,Stromlückenfüller 2nd phase,DEU,2019.0,,Operational,PEM,H2,,0.2 MW,0.2,38.46153846153847,[427],
54,ATCO clean energy innovation hub,AUS,2019.0,,Operational,PEM,H2,,0.15MW,0.15,28.846153846153847,[306] [307],
55,Tauron CO2-SNG,POL,2019.0,,Operational,Other Electrolysis,CH4,,18 Nm3/h,0.08099999999999999,18,"[3], [92], [93]",
56,Methane Synthesis test facility in Koshijihara Plant of INPEX’s - Nagaoa,JPN,2019.0,,DEMO,Other Electrolysis,,,,,0,,Nagaoka
58,VTT Bio economy+,FIN,2019.0,,DEMO,PEM,Synfuels,,0.025MW,0.025,4.807692307692308,[234] [389],
59,Kopernikus,DEU,2021.0,,DEMO,SOEC,Synfuels,,0.01 MW - 10m3 H2/h,0.01,2.6315789473684212,[445],karlsruher institut für technologie
60,Rozenburg Power2Gas Phase 2,NLD,2019.0,,DEMO,PEM,H2,,0.007 MW,0.007,1.3461538461538463,"[7], [9], [148] [464]",
61,Balance project,FIN,2019.0,,DEMO,SOEC,Various,,0.006MW,0.006,1.5789473684210527,[215],
62,H2One - SP Group,SGP,2019.0,,Operational,PEM,H2,,1 Nm3 H2/h,0.0052,1,[556],
63,Falkenhagen STORE&GO,DEU,2018.0,,Operational,PEM,CH4,,1 MW - 180 Nm3 H2/h,1,192.30769230769232,[372] [737],
64,"NEDO kofu city, Yamanashi Prefecture",JPN,2019.0,,Operational,PEM,H2,,1.5 MW,1.5,288.46153846153845,"[109], [201], [705]",Yamanashi Prefecture
65,Semakau island microgrid Engie (SPORE),SGP,2019.0,,Operational,Other Electrolysis,H2,,50 kW,0.05,11.111111111111112,"[244], [707]",
66,H2PLAZA - Toyota Industries Corporation’s Takahama,JPN,2019.0,,Operational,Other Electrolysis,H2,,10 Nm³ H₂/h,0.045,10,"[554], [708]",
67,Localhy,DEU,2019.0,,Operational,Other Electrolysis,H2,,,,0,[601][602],
68,Wind to Gas Südermarsch,DEU,2019.0,,Operational,PEM,H2,,2.4 MW - 450m3 H2/h,2.4,461.53846153846155,[222] [431] [737],Brunsbüttel
69,Carbon2Chem,DEU,2018.0,,DEMO,ALK,Various,,2 MW,2,434.7826086956522,[459],Duisburg
70,SunLine Transit Agency,USA,2018.0,,Operational,PEM,H2,,1.5MW,1.5,288.46153846153845,[405],
71,HyBALANCE,DNK,2020.0,,Operational,PEM,H2,,1.5 MW,1.5,288.46153846153845,"[2], [4], [8], [48], [49]",Hobro
72,Aberdeen Conference Center,GBR,2018.0,,Operational,ALK,H2,,1MW - 200m3 H2/h,1,217.3913043478261,[460],
73,Lam Takhong Wind Hydrogen Hybrid Project- EGAT,THA,2018.0,,Operational,PEM,H2,,1MW - 200m3 H2/h,1,192.30769230769232,[407],
74,H2ORIZON,DEU,2020.0,,Operational,PEM,H2,,0.8 MW,0.8,153.84615384615387,"[31], [137], [138] [409]",Lampoldshausen
75,ASKO Midt-Norge,NOR,2017.0,,Operational,ALK,H2,,0.7Mw or 150m3 H2/h,0.7,152.17391304347825,[476],Trondheim
76,Underground Sun Conversion,AUT,2018.0,,Operational,ALK,CH4,,0.6MW,0.6,130.43478260869566,[399],Gampern
77,Hydrogen plant - Orkney Islands - BIG HIT 1st phase,GBR,2017.0,,Operational,PEM,H2,,0.7 MW,0.7,134.6153846153846,[371] [383],Eday
80,"Windgas Haurup, 1st phase",DEU,2018.0,,Operational,PEM,H2,,0.225 MW,0.225,43.269230769230774,[440],Haurup
82,"Troia,  STORE&GO",ITA,2018.0,,Operational,PEM,CH4,,0.2MW,0.2,38.46153846153847,[372],
83,GNVert H2 ,FRA,2018.0,,Operational,PEM,H2,,37 Nm3 H2/h,0.1924,37,[392],"Rungis, Val-de-Marne, Île-de-France, France"
85,Tongji solar hybrid hydrogen refueling station,CHN,2018.0,,Operational,Other Electrolysis,H2,,25 Nm3 H2/h,0.11249999999999999,25,,Shanghai
87,Methanation at Eichhof,DEU,2018.0,,Operational,PEM,CH4,,0.05 MW,0.05,9.615384615384617,,
88,"CoSin: Synthetic Natural Gas from Sewage, Barcelona",ESP,2018.0,,Operational,SOEC,CH4,,20m3 CH4/h,0.033440000000000004,8.8,"[120], [202], [203] [402]",
89,REFLEX,ITA,2018.0,,Operational,SOEC,H2,,10 Nm3 H2/h,0.038,10,[401],
90,Sendai City,JPN,2018.0,,Operational,PEM,H2,,0.025MW,0.025,4.807692307692308,[403],
92,"Rostock, Exytron Demonstrationsanlage",DEU,2018.0,,Operational,ALK,CH4,,4 Nm3 H2/h,0.0184,4,"[2], [165] [373]",
93,Tokyu Construction Institute of Technology,JPN,2018.0,,Operational,PEM,H2,,1 Nm3 H2/h,0.0052,1,[543],
94,Rakuten Seimei Park Miyagi,JPN,2018.0,,Operational,PEM,H2,,1 Nm3 H2/h,0.0052,1,,
95,"MicroPyros, Altenstant",DEU,2018.0,,Operational,Other Electrolysis,CH4,,0.25 Nm3 H2/h,0.001125,0.25,[384],
96,Oxelösund Forklifts,SWE,2018.0,,Operational,PEM,H2,,,,0,[404],
97,H21 Leeds City Gate - Teesside hydrogen,GBR,2035.0,,Feasibility study,NG w CCUS,H2,1,1GW H2 - 1.5Mt CO2/y,,1880646.6415412277,[269] [302] [1121],Teesside
111,"Hynet Northwest, phase 1 (Essar Stanlow refinery)",GBR,2027.0,,Feasibility study,NG w CCUS,H2,1,3 TWh H2/y - 0.65Mt CO2/y,,81494.68780011986,"[300], [709] 2024 ref [3110]",Essar Stanlow refinery
113,"Baicheng, Jilin wind-solar project",CHN,2035.0,,Concept,Other Electrolysis,H2,,1 Mt H2/y production,11543.78944128059,2565286.542506798,[773],Baicheng
115,"Alzey, Exytron Null-E",DEU,2017.0,,Operational,ALK,H2,,0.0625MW,0.0625,13.58695652173913,"[2], [166], [167] [409]",
119,Energy observer,FRA,2017.0,,Operational,PEM,H2,,9 Nm3/h,0.046799999999999994,9,[250] [365],
120,Haldor Topsoe - El-Opgraderet Biogas II,DNK,2017.0,2020,DEMO,SOEC,CH4,,10 Nm3/h,0.038,10,[126],Haldor Topsoe HQ
121,Musashi-Mizonokuchi Station,JPN,2017.0,,Operational,PEM,H2,,1 Nm3/h,0.0052,1,[282],
122,"H2One - Hydrogen Application Center, Fuchu Complex",JPN,2017.0,,Operational,PEM,H2,,1 Nm3/h,0.0052,1,[553],
123,H2One - Asahi Breweries in Ibaraki,JPN,2017.0,,Operational,PEM,H2,,1 Nm3/h,0.0052,1,[555],
124,Costa Rica Transportation Ecosystem Project,CRI,2017.0,,Operational,PEM,H2,,1 Nm3/h,0.0052,1,,Guanacaste
125,Cerro Pabellón Microgrid 450 kWh Hydrogen ESS,CHL,2017.0,,Operational,Other Electrolysis,H2,,50 kW,0.05,11.111111111111112,"[108], [199] [410]",Ollague
126,"Energy in the Container, Fraunhofer IISB, Erlangen, Leistungszentren Elektroniksysteme (LZE)",DEU,2017.0,,DEMO,PEM,H2,,,,0,,
127,Hassfurt,DEU,2016.0,,Operational,PEM,H2,,1.25MW,1.25,240.3846153846154,[2] [7] [380] [737],
130,GreenHydroChem Central German Chemical Triangle,DEU,,,Feasibility study,PEM,H2,1,120MW,120,23076.923076923078,[473],Central German Chemical Triangle
134,HPEM2GAS (R&D),DEU,2016.0,,Operational,PEM,H2,,0.2MW,0.2,38.46153846153847,[119][200],
135,Hamburg - Schnackenburgallee,DEU,2016.0,,Operational,PEM,H2,,0.185 MW,0.185,35.57692307692308,[2][7][45],Hamburg
136,smart grid solar - arzberg,DEU,2016.0,2017,DEMO,PEM,H2,,0.075MW,0.075,14.423076923076923,[242],Arzberg
137,"Naval Facilities Engineering Command, Engineering and Expeditionary Warfare Center",USA,2016.0,,DEMO,SOEC,H2,,0.05MW,0.05,13.157894736842106,[477],
138,Laboratory System at IFE Kjeller Pahse 2,NOR,2016.0,,Operational,PEM,H2,,2 Nm3 H2/h,0.0104,2,"[1], [5] [468]",
139,"H2One - Kyushu Resort Hotel,  Huis Ten Bosch",JPN,2016.0,,Operational,PEM,H2,,1 Nm3 H2/h,0.0052,1,[551],
140,H2One - Yokohama Cargo Center,JPN,2016.0,,Operational,PEM,H2,,1 Nm3 H2/h,0.0052,1,[552],
142,WindGas Hamburg-Reitbrook,DEU,2015.0,2023,DEMO,PEM,H2,,1.5 MW,1.5,288.46153846153845,[1] [2] [4] [7] [8] [9] [34],Reitbrook
143,"RH2 Grapzow, Mecklenburg Vorpommern",DEU,2015.0,,Operational,ALK,H2,,1MW - 200 Nm3 H2/h,1,217.3913043478261,[386] [737],Grapzow
146,P2G-Biocat - Continued (Ref 508),DNK,2015.0,,Operational,ALK,CH4,,0.5 MW - 100 Nm3H2/h,0.5,108.69565217391305,[3] [4] [7],
147,Raglan Nickel mine,CAN,2015.0,2023,DEMO,ALK,H2,,60 Nm3/h,0.276,60,"[4], [109], [214]","Nunavik, Quebec"
148,Don Quichote,BEL,2015.0,,Operational,ALK,H2,,0.3 MW - 60 Nm3 H2/h,0.3,65.21739130434783,[4] [388],Halle
149,Regio Energie Solothurn/Aarmat hybrid plant,CHE,2015.0,,DEMO,PEM,H2,,0.7MW - 60m3 H2/h,0.7,134.6153846153846,"[2], [109], [110] [469]",
151,RWE PtG plant Ibbenbüren,DEU,2015.0,2017,DEMO,PEM,H2,,0.15MW,0.15,28.846153846153847,"[1], [2], [7], [9], [82] [385]",
155,DemoSNG,SWE,2015.0,,DEMO,PEM,CH4,,28 Nm3/h,0.1456,28,[387],
163,Stromlückenfüller 1st phase,DEU,2015.0,,Operational,PEM,H2,,0.02MW,0.02,3.8461538461538463,[427],
164,Higashi-Ogishima-Naga-Park,JPN,2015.0,2021,DEMO,PEM,H2,,1 Nm3/h,0.0052,1,[280],Kawasaki 
165,Emden II Upscaling,DEU,2015.0,2020,DEMO,PEM,CH4,,,,0,[2] [3] [121],
167,SYNFUEL,DNK,2015.0,2018,DEMO,SOEC,Synfuels,,,,0,[3] [192],
169,"Hydrogen Valley South Tyrol - Bolzano, CHIC",ITA,2014.0,,Operational,ALK,H2,,1.5MW - 180 Nm3 H2/h,1.5,326.0869565217391,[864] [865],Bolzano
173,H2BER (Berlin airport),DEU,2014.0,,Operational,ALK,H2,,0.5 MW - 100 Nm3H2/h,0.5,108.69565217391305,"[2], [7], [97] [409]",Berlin
198,"Hanau, Wolfgang Industrial Park",DEU,2014.0,,Operational,PEM,H2,,4 Nm3 H2/h,0.0208,4,"[2], [177], [178]",
199,"MicroPyros, Staubing",DEU,2014.0,,Operational,Other Electrolysis,CH4,,,,0,[7] [143] [144],
200,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",DEU,2013.0,,Operational,ALK,CH4,,6.3 MW,6.3,1369.5652173913043,[1] [3] [5] [7] [9] [737],Werlte
201,H2 Logic HRS with onsite electrolysis Aalborg,DNK,2013.0,,Operational,ALK,H2,,200 kg H2/d,0.4307116104868913,93.63295880149812,[484],
202,WindGas Falkenhagen,DEU,2013.0,,Operational,ALK,H2,,2 MW,2,434.7826086956522,[372] [737],Falkenhagen
203,P2G plant Erdgas Schwaben,DEU,2013.0,,Operational,PEM,H2,,1 MW - 180 Nm3 H2/h,1,192.30769230769232,[1],
204,"Oslo, CHIC",NOR,2013.0,,Operational,ALK,H2,,0.6MW - 120 Nm3 H2/h,0.6,130.43478260869566,,
205,"HySynergy, phase 1",DNK,2025.0,,Operational,ALK,H2,1,20MW,20,4347.826086956522,[288] [331][3000],Fredericia refinery
207,CO2RRECT-Niederaussem,DEU,2013.0,2015,DEMO,PEM,CH4,,50 Nm3 H2/h,0.26,50,"[1], [2], [7], [12], [18], [122], [123]",
211,"Sir Samuel building Griffith Center, Brisbane, Australia",AUS,2013.0,,Operational,ALK,H2,,0.2MW - 30 Nm3 H2/h,0.2,43.47826086956522,[5] [179] [180],
213,"MicrobEnergy GmbH, Schwandorf",DEU,2013.0,,Operational,PEM,CH4,,0.18 MW,0.18,34.61538461538461,[2] [3] [7] [94],
221,"H2Move, Fraunhofer ISE",DEU,2013.0,,Operational,PEM,H2,,0.04MW,0.04,7.6923076923076925,"[1], [2], [7], [59]",Freiburg
222,"Hazira, Reliance, back-up hydrogen supply",IND,2005.0,,Operational,ALK,H2,,,,0,[248] [485] [710],
223,El Tubo - ACTA EL500,ESP,2013.0,,DEMO,PEM,H2,,0.6 Nm3 H2/h,0.00312,0.6,"[7], [185], [186] [465]",
225,Refhyne,DEU,2021.0,,Operational,PEM,H2,1,10 MW,10,1923.076923076923,[76] [104] [129],Wesseling
227,H&R Ölwerke Hamburg-Neuhof,DEU,2017.0,,Operational,PEM,H2,1,5 MW,5,961.5384615384615,[229] [737],Hamburg-Neuhof
235,H2Herten,DEU,2012.0,,Operational,ALK,H2,,0.165MW,0.165,35.869565217391305,[1] [2] [5] [7] [41],Herten 
236,H2 research center BTU Cottbus,DEU,2012.0,,Operational,ALK,H2,,0.14MW,0.14,30.434782608695656,"[1], [2], [5], [7], [46]",
239,Cotbus,DEU,2012.0,,Operational,ALK,H2,,0.12 MW - 30 Nm3 H2/h,0.12,26.08695652173913,,
240,Eucolino Schwandorf,DEU,2012.0,,Operational,Other Electrolysis,H2,,24 Nm3 H2/h,0.10799999999999998,24,"[1], [2], [3], [9], [36]",
241,Agios Efstratios,GRC,2012.0,,Operational,Other Electrolysis,H2,,0.1MW,0.1,22.222222222222225,[409],
246,Hydrogen mini grid system Yorkshire (Rotherham),GBR,2012.0,,Operational,ALK,H2,,0.03MW,0.03,6.521739130434782,"[1], [2], [5], [7]",
249,"Fronius Energy Cell, self-sufficient house",AUT,2012.0,,DEMO,PEM,H2,,1.7 Nm3 H2/h,0.008839999999999999,1.7,"[1], [5], [39]",
250,Hitachi Zosen - PTTEP CO2 Conversion to Methane Project R&D),THA,2012.0,,DEMO,Other Electrolysis,CH4,,,,0,"[3], [196]",
251,Commercial Plant Svartsengi/George Olah plant,ISL,2012.0,,Operational,Other Electrolysis,MeOH,,6MW - 1200m3 H2/h,6,1333.3333333333335,[1] [5] [7] [11] [19] [20],Grindavik
254,"Hamburg Hafen City, CEP",DEU,2011.0,,Operational,ALK,H2,,0.6MW - 120 Nm3 H2/h,0.6,130.43478260869566,"[1], [7], [65], [66]",Hamburg
258,"Hybrid Power Plant Enertrag, Prenzlau",DEU,2011.0,,Operational,ALK,H2,,0.5MW - 120 Nm3 H2/h,0.5,108.69565217391305,"[1], [2], [5], [7], [9], [71] [526]",
259,"EnBW H2 station, Stuttgart",DEU,2011.0,,Operational,ALK,H2,,0.3MW - 60 Nm3 H2/h,0.3,65.21739130434783,"[1], [2]",
270,Ramea Wind-Hydrogen-Diesel Project,CAN,2011.0,2025,Decommisioned,ALK,H2,,28 Nm3 H2/h,0.1288,28,"[1], [5], [160]","Ramea, NL"
275,Hydrogen Island Bozcaada,TUR,2011.0,,Operational,Other Electrolysis,H2,,11 Nm3 H2/h,0.049499999999999995,11,,
279,DNV Kema/DNV GL,NLD,2011.0,,Operational,PEM,H2,,0.01MW,0.01,1.9230769230769231,"[1], [3],[22]",
282,The Hydrogen Assisted Renewable Power (HARP) Project,CAN,2010.0,,Operational,ALK,H2,,0.3MW - 5 kgH2/h,0.3,65.21739130434783,"[1], [5], [69]",
286,H2KT - Hydrogen Energy Storage in Nuuk,DNK,2010.0,,Operational,ALK,H2,,19 Nm3 H2/h,0.0874,19,"[1], [5] [409]",
288,ITHER,ESP,2010.0,,DEMO,ALK,H2,,0.065MW,0.065,14.130434782608697,[1] [2] [7] [64],
295,H2SusBuild,GRC,2010.0,,DEMO,Other Electrolysis,H2,,0.022MW,0.22,48.88888888888889,[461],
296,"Hybrid energy storage system NFCRC, California",USA,2010.0,,DEMO,PEM,H2,,0.007MW,0.007,1.3461538461538463,"[1], [5], [70]",
299,Nukissiorfiit Nuuk Hydrogen Plant,DNK,2010.0,,Operational,ALK,H2,,,,0,,
302,"Centre of Fuel Cell Technology, Chennai",IND,2012.0,,Operational,PEM,H2,,2 Nm3/h,0.0104,2,[247][488],
303,"Hychico, Comodoro Rivadavia",ARG,2009.0,,Operational,ALK,H2,,120+60 Nm3 H2/h,0.828,180,[1] [5] [7] [9] [47],Comodoro Rivadavia
305,Taleghan solar hydrogen energy system,IRN,2009.0,,Operational,Other Electrolysis,H2,,0.2MW,0.2,44.44444444444445,[485] [486],
306,Istanbul,TUR,2009.0,2023,DEMO,ALK,H2,,0.16MW - 30 Nm3 H2/h,0.16,34.78260869565217,,
309,AltHytude,FRA,2009.0,,DEMO,ALK,CH4,,0.08MW,0.08,17.391304347826086,,"Dunkerque, Nord, Haut-de-France, France"
312,Regenerativer Energipark Ostfalia/hybrid renewable energy park (HREP),DEU,2009.0,,Operational,ALK,H2,,0.006MW,0.006,1.3043478260869565,"[1], [161], [162]",
313,DRI CO2 recycling,USA,2009.0,,DEMO,PEM,,,0.005MW,0.005,0.9615384615384616,"[3], [193]",
314,Neo Olvio of Xanthi,GRC,2009.0,,DEMO,PEM,H2,,0.004MW,0.004,0.7692307692307693,[462],
315,HYLINK Totara,NZL,2009.0,,DEMO,PEM,H2,,0.0025MW,0.0025,0.4807692307692308,[471],
333,Baglan Energy Park Wales,GBR,2008.0,,Operational,ALK,H2,,10 Nm3/h,0.046,10,"[1], [5], [17]",
340,"Synthetic Energy, Idaho",USA,2008.0,,DEMO,PEM,H2,,7 Nm3 H2/h,0.0364,7,,
341,Hydepark,TUR,2008.0,,DEMO,PEM,H2,,0.007MW,0.007,1.3461538461538463,"[1], [5], [54]",
342,"Stand-alone power system, Neo Olvio of Xanthi",GRC,2008.0,,DEMO,PEM,H2,,0.7 Nm3 H2/h,0.0036399999999999996,0.7,"[1], [5], [171]",
343,"HYLINK, Totara Valley",NZL,2008.0,,DEMO,PEM,H2,,0.09 Nm3 H2/h,0.00046799999999999994,0.09,"[1], [5], [7], [55], [63]",
356,RES2H2 Gran Canaria,ESP,2007.0,,DEMO,ALK,H2,,0.055MW,0.055,11.956521739130435,"[1], [5], [55], [62]",
361,"Industrias de Aceite Fino, part of the Peruvian Romero Group",BOL,2012.0,,Operational,ALK,H2,,300m3 H2/h,1.38,300,[483] [627],
362,"H2 from the sun, Brunate",ITA,2007.0,,DEMO,ALK,H2,,0.007MW,0.007,1.5217391304347827,"[1], [5], [55], [56]",
363,CEC Denizli Turkey,TUR,2007.0,,DEMO,PEM,H2,,0.7 Nm3 H2/h,0.0036399999999999996,0.7,[87] [409],
366,"CUTE and HyFLEET:CUTE, Barcelona",ESP,2006.0,,DEMO,ALK,H2,,0.3MW - 60 Nm3 H2/h,0.3,65.21739130434783,"[7], [133]",
387,Savli wind-hydrogen demo project,IND,2013.0,,DEMO,Other Electrolysis,H2,,0.005MW,0.005,1.1111111111111112,,
404,Tokuyama polysilicon 1,MYS,2013.0,,Operational,ALK,H2,,2250 Nm3 H2/h,10.35,2250,[629],Random location in Malaysia
405,"Dahej, Reliance, back-up hydrogen supply",IND,2014.0,,Operational,ALK,H2,,444 Nm3 H2/h,2.0423999999999998,444,[483],
427,"HARI project, West Beacon Farm",GBR,2004.0,,Operational,ALK,H2,,0.034MW,0.034,7.391304347826088,"[1], [2], [5], [7], [67], [68]",
433,"Porto, CUTE",PRT,2003.0,,DEMO,ALK,H2,,0.3MW - 60 Nm3 H2/h,0.3,65.21739130434783,,
436,Tokuyama polysilicon 2,MYS,2014.0,,Operational,ALK,H2,,2250 Nm3 H2/h,10.35,2250,[629],Random location in Malaysia
437,Energiepark Mainz,DEU,2017.0,,Operational,PEM,H2,,6 MW,6,1153.8461538461538,[2] [7] [11] [42] [381] [737],Mainz
449,INGRID,ITA,2016.0,2023,DEMO,ALK,H2,,1.2 MW,1.2,260.8695652173913,[509],Troia
452,Tohoku pilot plant in 2003,JPN,2003.0,,DEMO,ALK,H2,,4m3 H2/h,0.0184,4,[3] [7],
453,Gwalpahari Solar-Hydrogen demonstration,IND,2015.0,,Operational,Other Electrolysis,H2,,0.12MW,0.12,26.666666666666668,[249] [409],Gwal Pahari
461,Solar Energy Centre SmartFuel hydrogen station ,IND,2015.0,,Operational,Other Electrolysis,H2,,,,0,,Delhi
472,FaHyence,FRA,2017.0,,Operational,ALK,H2,,30 Nm3/h,0.138,30,[411],"Sarreguemines, Moselle, Grand Est, France"
477,CPI Zaoquan thermal power plant in China's Ningxia region,CHN,2017.0,,DEMO,ALK,H2,,20 Nm3/h,0.092,20,,
487,Laboratory Plant HRI Quebec,CAN,2001.0,,DEMO,ALK,H2,,0.005MW - 1 Nm3 H2/h,0.005,1.0869565217391304," [1], [5], [87], [89], [90]",
491,Power plant in Lebanon for a Power Plant Cooling application,LBN,2018.0,,Operational,ALK,H2,,0.114MW,0.114,24.782608695652176,,Random location in Lebanon
492,Minatec's semiconductor labs in Grenoble,FRA,2018.0,,Operational,ALK,H2,,12 Nm3 H2/h,0.0552,12,,"Grenoble, Isère, Auvergne-Rhône-Alpes, France"
494,Grimstad Renewable Energy Park,NOR,2000.0,,Operational,ALK,H2,,0.05MW,0.05,10.869565217391305," [1], [5], [53]",Grimstad Renewable Energy Park
497,Hypos - Sunfire,DEU,2019.0,,DEMO,SOEC,H2,,0.18MW - 50 Nm3 H2/h,0.18,47.368421052631575,[448],
498,Electrochaea: Biological methanation in Avedøre,DNK,2014.0,2017,DEMO,ALK,CH4,,1.2MW - 2000 Nm3 H2/h,1.2,260.8695652173913,[491],Avedøre
499,REMOTE - Agkistro (Greece,GRC,2021.0,,DEMO,ALK,H2,,0.025MW,0.025,5.434782608695652,[615] [730],Agkistro
500,"REMOTE - Spain, Canary Islands",ESP,2023.0,,Operational,ALK,H2,,0.080MW,0.08,17.391304347826086,[423],
