reference,project_name,country,date_online,decommission_date,status,technology,product,end_use,announced_size,capacity_normalized,capacity_zerocarbon,refs,latitude
Ref,Project name,Country,,Decomission date,Status,Technology,Product,EndUse_Refining,Announced Size,Capacity_MWel,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],References,Location
2137,MoU IHI-Enoc,ARE,,,Concept,Other Electrolysis,Ammonia,,200kt NH3/d (production),692.9045282881507,153978.7840640335,[1838],Dubai
2138,"Fortescue Future Industries - Windlab - Queensland hub, phase 1",AUS,2027.0,,Concept,Other Electrolysis,H2,,,0,0,[1839],Random location in North Queensland
2139,"Fortescue Future Industries - Windlab - Queensland hub, phase 1",AUS,,,Concept,Other Electrolysis,H2,,,0,0,[1839],Random location in North Queensland
2141,"KEPCO, Korea Southern Power, KNOC, Samsun, Posco",SAU,,,Concept,Other Electrolysis,Ammonia,,1.2Mt NH3/d (production),2494.4563018373424,554323.6226305206,[1841],Random location in Saudi Arabia
2142,ReNu - Countrywide Hydrogen - Anantara Energy Holdings MoU,IDN,2026.0,,Feasibility study,Other Electrolysis,H2,,10MW,10,2222.222222222222,[1842],Karimun 
2143,PTT - Egat - ACWA MoU,THA,,,Concept,Other Electrolysis,Ammonia,,1.2 Mt NH3/y (production),2494.4563018373424,554323.6226305206,[1843],Random location in Thailand
2144,"Clean Energy Holdings - Clear Fork, phase 1",USA,2027.0,,Feasibility study,Other Electrolysis,H2,,33 t/day (production),139.04494382022472,30898.876404494382,[1844][3089],"Clear Fork, Texas"
2146,"MercurHy, phase 1",AUS,2030.0,,Concept,Other Electrolysis,H2,,150MW,150,33333.333333333336,[1846],Random location in Mid-West region of Western Australia
2147,"MercurHy, phase 2",AUS,2030.0,,Concept,Other Electrolysis,H2,,500MW,350,77777.77777777778,[1846],Random location in Mid-West region of Western Australia
2148,"MercurHy, phase 3",AUS,2030.0,,Concept,Other Electrolysis,H2,,1GW,500,111111.11111111112,[1846],Random location in Mid-West region of Western Australia
2149,Orsted - Skovgaard Energy project in western Denmark,DNK,2028.0,,Feasibility study,Other Electrolysis,H2,,150MW,150,33333.333333333336,[1847] [2295],Idomlund
2150,Orsted - Skovgaard Energy project in western Denmark,DNK,,,Concept,Other Electrolysis,H2,,3GW,2850,633333.3333333334,[1847] ,Idomlund
2152,"Meirama, phase 2",ESP,,,Concept,ALK,H2,1,200MW,170,36956.52173913043,[1848],Meirama
2153,First Hydrogen - Shawinigan,CAN,,,Feasibility study,Other Electrolysis,H2,,35MW,35,7777.777777777778,[1848],Shawinigan
2154,Blastr Green Steel - Inkoo,FIN,2027.0,,Feasibility study,Other Electrolysis,H2,,800 MW,800,177777.77777777778,[1849],Inkoo
2155," Liquid Wind, Flagship 3rd plant",SWE,2027.0,,Feasibility study,Other Electrolysis,MeOH,,100kt MeOH/y production,220.86386024318918,49080.85783181982,[1850] [2774],"Umea,Vasterbotten "
2156,Greenko ZeroC - Kakinada city ,IND,2027.0,,FID/Construction,ALK,Ammonia,,1.3GW,1300,282608.6956521739,[1851] [2683],Kakinada city
2157,Enap - Cabo Negro,CHL,2026.0,,Feasibility study,Other Electrolysis,H2,1,1MW,1,222.22222222222223,[1852][2389],Cabo Negro
2158,Hydrogen Offshore Production Europe (HOPE),BEL,2026.0,,DEMO,PEM,H2,,10MW,10,1923.076923076923,[1853] [2440],port of Ostend
2159,Linde - Fort Saskatchewan ,CAN,2029.0,,FID/Construction,NG w CCUS,H2,,1000 kt H2/y - 2Mt CO2/y,,275828.1740927134,[1854][2245][3084],Fort Saskatchewan
2160,Yara-BASF Gulf Coast,USA,2029.0,,Feasibility study,NG w CCUS,Ammonia,,1.2-1.4 Mt NH3/y,,0,[1855],Random location in Gulf Coast
2161,SSE Aldbrough storage site,GBR,2028.0,,Feasibility study,Other Electrolysis,H2,,35MW,35,7777.777777777778,[1856],Aldbrough
2163,Kintore Scotland Hydrogen project - phase 1,GBR,2030.0,,Feasibility study,Other Electrolysis,H2,,500MW,500,111111.11111111112,[1859][2966],"Kintore, Inverurie, UK"
2164,Kintore Scotland Hydrogen project - phase 2,GBR,2030.0,,Concept,Other Electrolysis,H2,,3GW,2500,555555.5555555556,[1859] 2023 ref [3071],"Kintore, Inverurie, UK"
2165,Rosedale Green Hydrogen project,AUS,,,Concept,Other Electrolysis,H2,,560MW,560,124444.44444444445,[1860],Rosedale
2166,Mauritania - Green Ammonia project - phase 1,MRT,2028.0,,Concept,Other Electrolysis,Ammonia,,"400MW or 0,28-0,3 Mt NH3 production",400,88888.88888888889,[1861],Nouakchott
2167,Mauritania - Green Ammonia project - phase 2,MRT,,,Concept,Other Electrolysis,Ammonia,,10GW or 8 Mt NH3 production,9600,2133333.3333333335,[1861],Nouakchott
2168,Rio Grande do Sul,BRA,2027.0,,Concept,Other Electrolysis,Ammonia,,"483MW or 240,000 t/yr NH3",483,107333.33333333334,[1862],Rio Grande do Sul
2169,Alesund green hydrogen project - phase 1 - FjordH2,NOR,2027.0,,Feasibility study,Other Electrolysis,H2,,20MW,20,4444.444444444444,[1863][2960],Alesund
2170,Alesund green hydrogen project - phase 2 - FjordH2,NOR,2027.0,,Concept,Other Electrolysis,H2,,270MW,250,55555.55555555556,[1863][2960],Alesund
2171,"EWE - Clean Hydrogen Coastline, project Bremen",DEU,,,Feasibility study,Other Electrolysis,H2,,50MW,50,11111.111111111111,[1864][1865][2588][3217],Bremen
2172,Valle H2 Navarra project,ESP,2026.0,,Feasibility study,PEM,H2,,"25MW, 5x5MW modular ",25,5000,[1866],Sangüesa
2173,Saltend Chemicals Park - Hull - phase 1,GBR,2028.0,,Feasibility study,Other Electrolysis,H2,,100MW,100,22222.222222222223,[1867] [2676],"Hull, UK"
2174,Liquid Organic Hydrogen Carrier (LOHC) for Hydrogen Transport from Scotland (LHyTS),GBR,,,Feasibility study,Other Electrolysis,LOHC,,,0,0,[1868],Aberdeen
2176,"Borna Hydrogen Plant, phase 1",DEU,,,Concept,Other Electrolysis,H2,,100MW,100,22222.222222222223,[1870],Borna 
2177,"Borna Hydrogen Plant, phase 2",DEU,,,Concept,Other Electrolysis,H2,,1GW,900,200000.00000000003,[1870],Borna 
2178,Hybla Project,ITA,,,Concept,PEM,H2,,80 MW,80,15384.615384615385,[1871],Sasol plant in Sicilia
